"Company","Title","Location","Start","End"
"Managed Business Services","Technical Project Manager Agile","Denver Metro Area, CO","Aug 2023",
"Managed Business Services","Technical Project Manager Agile","Denver Metro Area, CO","Aug 2023","current"
"IHS Markit","Director, Software Engineering/Operations","Denver Metro Area, CO","Apr 2020","May 2022"
"IHS Markit","Agile Coach / Associate Director of ScrumMasters","Denver Metro Area, CO","Jul 2019","Apr 2020"
"IHS Markit","Associate Director / Principal Technical Project Manager","Denver Metro Area, CO","Mar 2016","Jul 2019"
"IHS Markit","Senior IT Service Delivery Manager","Denver Metro Area, CO","Nov 2015","Mar 2016"
"IHS Markit","Senior IT Project/Program & Service Manager (contract)","Denver Metro Area, CO","Oct 2014","Nov 2015"
"IGT","Client Manager","Golden, CO","Nov 2010","Apr 2014"
"IGT","Field Supervisor/Project Manager","Golden, CO","Mar 2009","Nov 2010"
"IGT","Project Manager","Golden, CO","Sep 2007","Mar 2009"
"IGT","Systems Engineeer","Golden, CO","Apr 2006","Sep 2007"
"IGT","Systems Analyst","Gulfport, MS / Las Vegas, NV","May 2005","Apr 2006"
"Grand Casino Gulfport","Systems Technician","Gulfport, MS","Nov 2003","May 2005"